Order ID,Order Date,Customer Name,Segment,Region,Category,Sub Category,Quantity,Unit Price,Discount,Sales,Profit
ORD-10150,2024-01-07,Customer 423,Consumer,Central,Clothing,Jacket,1,81.22,0.0,81.22,26.86
ORD-10790,2024-01-07,Customer 246,Consumer,West,Furniture,Sofa,4,384.32,0.05,1460.42,400.18
ORD-11034,2024-01-07,Customer 612,Consumer,South,Stationery,Pen Set,5,19.06,0.0,95.3,27.42
ORD-11303,2024-01-07,Customer 302,Home Office,West,Clothing,Jacket,5,21.49,0.0,107.45,27.87
ORD-10111,2024-01-07,Customer 227,Consumer,Central,Clothing,Jeans,2,18.86,0.0,37.72,10.54
ORD-12008,2024-01-08,Customer 597,Consumer,West,Clothing,Jacket,7,70.79,0.15,421.2,82.96
ORD-10986,2024-01-08,Customer 582,Corporate,East,Furniture,Bookshelf,1,626.81,0.0,626.81,133.66
ORD-11043,2024-01-08,Customer 556,Corporate,Central,Electronics,Laptop,4,148.77,0.0,595.08,202.5
ORD-11442,2024-01-08,Customer 695,Corporate,West,Electronics,Smartwatch,1,330.81,0.0,330.81,87.62
ORD-12054,2024-01-09,Customer 669,Consumer,East,Clothing,T-Shirt,5,12.23,0.0,61.15,14.88
ORD-10269,2024-01-09,Customer 843,Corporate,East,Furniture,Office Chair,3,153.58,0.15,391.63,36.43
ORD-12042,2024-01-09,Customer 652,Consumer,West,Stationery,Backpack,6,21.87,0.0,131.22,37.89
ORD-10991,2024-01-09,Customer 179,Consumer,North,Clothing,Cap,6,84.52,0.0,507.12,139.26
ORD-12067,2024-01-10,Customer 322,Consumer,North,Home & Kitchen,Lamp,3,75.94,0.0,227.82,16.53
ORD-11365,2024-01-10,Customer 170,Consumer,Central,Stationery,Notebook,6,12.82,0.05,73.07,9.13
ORD-11865,2024-01-11,Customer 265,Home Office,Central,Stationery,Notebook,7,32.91,0.0,230.37,19.82
ORD-12370,2024-01-11,Customer 763,Corporate,South,Electronics,Headphones,5,546.1,0.2,2184.4,504.04
ORD-11144,2024-01-11,Customer 699,Corporate,South,Home & Kitchen,Vacuum Cleaner,1,19.21,0.0,19.21,2.96
ORD-11075,2024-01-11,Customer 654,Home Office,East,Electronics,Smartphone,4,271.85,0.0,1087.4,255.34
ORD-10806,2024-01-11,Customer 431,Corporate,West,Clothing,Cap,3,24.24,0.0,72.72,3.71
ORD-11717,2024-01-12,Customer 525,Consumer,South,Home & Kitchen,Air Fryer,6,103.32,0.05,588.92,190.57
ORD-10866,2024-01-12,Customer 717,Consumer,West,Electronics,Smartwatch,2,505.06,0.0,1010.12,119.52
ORD-12418,2024-01-12,Customer 812,Corporate,West,Electronics,Smartphone,2,236.63,0.0,473.26,114.86
ORD-12076,2024-01-12,Customer 539,Consumer,Central,Home & Kitchen,Blender,6,178.87,0.05,1019.56,168.87
ORD-10443,2024-01-12,Customer 289,Consumer,West,Home & Kitchen,Lamp,6,44.55,0.2,213.84,45.58
ORD-10811,2024-01-13,Customer 12,Consumer,West,Furniture,Desk,5,345.31,0.15,1467.57,350.95
ORD-10901,2024-01-13,Customer 741,Corporate,West,Clothing,Jacket,3,81.77,0.0,245.31,19.0
ORD-12536,2024-01-13,Customer 693,Consumer,West,Home & Kitchen,Vacuum Cleaner,7,90.36,0.2,506.02,22.07
ORD-12066,2024-01-13,Customer 480,Corporate,North,Electronics,Smartwatch,4,300.12,0.0,1200.48,307.24
ORD-10634,2024-01-13,Customer 606,Consumer,East,Clothing,Jeans,2,10.26,0.0,20.52,6.36
ORD-10252,2024-01-14,Customer 82,Consumer,North,Stationery,Notebook,1,21.65,0.0,21.65,7.12
ORD-10668,2024-01-14,Customer 96,Corporate,North,Electronics,Smartwatch,1,152.98,0.05,145.33,9.67
ORD-12503,2024-01-14,Customer 761,Consumer,North,Clothing,Jeans,2,26.85,0.0,53.7,15.81
ORD-12733,2024-01-14,Customer 899,Consumer,South,Home & Kitchen,Lamp,1,130.62,0.1,117.56,36.76
ORD-12483,2024-01-14,Customer 301,Consumer,East,Home & Kitchen,Blender,5,132.18,0.1,594.81,172.08
ORD-10548,2024-01-15,Customer 214,Corporate,North,Clothing,Sneakers,7,52.91,0.1,333.33,113.68
ORD-12406,2024-01-15,Customer 608,Home Office,South,Clothing,Jeans,5,50.49,0.05,239.83,22.96
ORD-11225,2024-01-16,Customer 713,Consumer,North,Stationery,Notebook,4,26.5,0.0,106.0,28.36
ORD-12942,2024-01-16,Customer 321,Consumer,East,Clothing,Jacket,4,50.48,0.05,191.82,38.56
ORD-12744,2024-01-16,Customer 779,Home Office,East,Clothing,Jacket,1,74.65,0.0,74.65,20.49
ORD-11210,2024-01-16,Customer 489,Consumer,East,Clothing,Cap,3,81.81,0.1,220.89,54.48
ORD-10727,2024-01-16,Customer 535,Home Office,South,Clothing,Jacket,5,65.42,0.0,327.1,96.44
ORD-11148,2024-01-17,Customer 442,Consumer,South,Electronics,Headphones,7,411.86,0.15,2450.57,469.18
ORD-10747,2024-01-17,Customer 751,Consumer,North,Clothing,Sneakers,2,77.58,0.0,155.16,52.76
ORD-10072,2024-01-17,Customer 173,Consumer,Central,Clothing,Jacket,3,37.11,0.0,111.33,36.54
ORD-10139,2024-01-18,Customer 287,Corporate,East,Electronics,Tablet,3,880.4,0.0,2641.2,468.64
ORD-12878,2024-01-18,Customer 274,Corporate,South,Stationery,Notebook,2,30.41,0.0,60.82,18.45
ORD-10551,2024-01-18,Customer 556,Consumer,Central,Home & Kitchen,Vacuum Cleaner,6,99.18,0.0,595.08,53.08
ORD-11427,2024-01-18,Customer 632,Corporate,South,Furniture,Bookshelf,6,486.35,0.15,2480.39,458.56
ORD-10896,2024-01-18,Customer 837,Consumer,South,Electronics,Laptop,7,390.02,0.05,2593.63,401.44
ORD-10381,2024-01-18,Customer 406,Corporate,South,Furniture,Bed Frame,1,487.0,0.0,487.0,47.65
ORD-11212,2024-01-18,Customer 570,Home Office,West,Furniture,Bookshelf,5,146.76,0.15,623.73,73.47
ORD-12635,2024-01-18,Customer 588,Home Office,Central,Clothing,Cap,6,72.79,0.0,436.74,132.21
ORD-10301,2024-01-19,Customer 611,Corporate,North,Furniture,Sofa,4,621.25,0.0,2485.0,565.79
ORD-12269,2024-01-20,Customer 737,Corporate,West,Home & Kitchen,Cookware Set,1,115.02,0.0,115.02,10.08
ORD-10819,2024-01-20,Customer 53,Consumer,Central,Clothing,Cap,6,46.09,0.15,235.06,64.45
ORD-12082,2024-01-21,Customer 561,Consumer,South,Electronics,Smartwatch,1,877.35,0.1,789.62,44.58
ORD-10289,2024-01-21,Customer 430,Home Office,Central,Electronics,Laptop,3,103.47,0.15,263.85,60.85
ORD-12306,2024-01-22,Customer 377,Corporate,East,Electronics,Headphones,7,636.17,0.0,4453.19,386.71
ORD-11019,2024-01-22,Customer 629,Home Office,North,Stationery,Backpack,6,10.92,0.0,65.52,19.03
ORD-10703,2024-01-22,Customer 165,Corporate,West,Stationery,Whiteboard,1,5.5,0.2,4.4,-3.5
ORD-12634,2024-01-22,Customer 696,Corporate,South,Clothing,Cap,3,71.5,0.0,214.5,67.73
ORD-11591,2024-01-22,Customer 527,Consumer,West,Clothing,Sneakers,4,56.19,0.0,224.76,62.33
ORD-12761,2024-01-22,Customer 465,Corporate,Central,Clothing,T-Shirt,1,58.26,0.05,55.35,3.3
ORD-10590,2024-01-22,Customer 643,Corporate,South,Clothing,T-Shirt,3,54.19,0.0,162.57,40.56
ORD-12526,2024-01-22,Customer 259,Consumer,South,Clothing,Cap,5,82.71,0.05,392.87,40.28
ORD-11907,2024-01-22,Customer 480,Consumer,North,Furniture,Sofa,1,574.51,0.0,574.51,122.3
ORD-10876,2024-01-22,Customer 859,Corporate,East,Home & Kitchen,Lamp,7,173.32,0.0,1213.24,120.88
ORD-10424,2024-01-23,Customer 260,Corporate,West,Clothing,T-Shirt,3,10.54,0.05,30.04,8.65
ORD-10807,2024-01-23,Customer 391,Consumer,Central,Clothing,Cap,3,65.44,0.1,176.69,61.82
ORD-11946,2024-01-23,Customer 338,Corporate,West,Electronics,Tablet,2,199.99,0.0,399.98,133.15
ORD-11488,2024-01-23,Customer 73,Corporate,West,Electronics,Headphones,4,119.14,0.0,476.56,165.94
ORD-12600,2024-01-24,Customer 376,Consumer,East,Clothing,Jeans,4,49.87,0.2,159.58,6.22
ORD-12128,2024-01-24,Customer 491,Corporate,West,Home & Kitchen,Blender,3,195.6,0.0,586.8,128.8
ORD-12667,2024-01-24,Customer 191,Home Office,East,Home & Kitchen,Vacuum Cleaner,6,170.04,0.0,1020.24,305.36
ORD-10049,2024-01-24,Customer 413,Home Office,North,Clothing,Sneakers,7,33.63,0.0,235.41,33.09
ORD-10805,2024-01-24,Customer 399,Consumer,West,Clothing,Jeans,2,59.98,0.05,113.96,38.82
ORD-12321,2024-01-25,Customer 142,Consumer,North,Home & Kitchen,Vacuum Cleaner,1,43.09,0.05,40.94,4.35
ORD-10395,2024-01-25,Customer 176,Home Office,West,Electronics,Smartwatch,4,628.83,0.0,2515.32,490.62
ORD-11969,2024-01-25,Customer 73,Consumer,North,Stationery,Notebook,4,17.56,0.0,70.24,24.0
ORD-10335,2024-01-25,Customer 636,Consumer,South,Clothing,Jacket,2,52.37,0.0,104.74,8.16
ORD-11781,2024-01-25,Customer 755,Corporate,West,Clothing,Jeans,4,12.52,0.0,50.08,7.05
ORD-11645,2024-01-25,Customer 796,Home Office,South,Furniture,Bed Frame,2,158.46,0.0,316.92,55.16
ORD-11972,2024-01-26,Customer 856,Home Office,Central,Stationery,Pen Set,5,13.95,0.0,69.75,7.42
ORD-10931,2024-01-26,Customer 59,Home Office,East,Stationery,Backpack,1,31.81,0.0,31.81,10.15
ORD-12748,2024-01-26,Customer 202,Home Office,Central,Clothing,T-Shirt,7,45.55,0.0,318.85,97.7
ORD-11054,2024-01-26,Customer 578,Consumer,South,Electronics,Smartwatch,5,672.58,0.0,3362.9,284.21
ORD-10010,2024-01-26,Customer 501,Consumer,North,Furniture,Desk,1,490.39,0.1,441.35,110.03
ORD-11118,2024-01-26,Customer 626,Corporate,West,Clothing,T-Shirt,3,12.07,0.0,36.21,8.6
ORD-10964,2024-01-27,Customer 27,Home Office,West,Stationery,Whiteboard,4,13.11,0.0,52.44,13.77
ORD-10651,2024-01-27,Customer 37,Corporate,South,Electronics,Laptop,3,785.61,0.0,2356.83,221.35
ORD-12683,2024-01-27,Customer 47,Home Office,West,Clothing,Sneakers,5,20.79,0.0,103.95,21.82
ORD-10303,2024-01-27,Customer 174,Consumer,East,Furniture,Sofa,3,168.66,0.0,505.98,168.61
ORD-10992,2024-01-27,Customer 541,Consumer,West,Electronics,Smartwatch,2,765.51,0.0,1531.02,212.47
ORD-12310,2024-01-27,Customer 486,Consumer,North,Clothing,T-Shirt,6,67.72,0.0,406.32,86.58
ORD-11265,2024-01-28,Customer 857,Home Office,West,Home & Kitchen,Cookware Set,7,18.36,0.0,128.52,38.74
ORD-11741,2024-01-28,Customer 324,Consumer,Central,Electronics,Laptop,2,710.94,0.15,1208.6,134.64
ORD-10403,2024-01-28,Customer 442,Corporate,East,Furniture,Office Chair,4,439.0,0.0,1756.0,596.85
ORD-11250,2024-01-28,Customer 646,Corporate,North,Electronics,Smartwatch,2,734.44,0.05,1395.44,365.91
ORD-10217,2024-01-28,Customer 403,Corporate,Central,Clothing,Sneakers,3,67.02,0.0,201.06,38.26
ORD-12377,2024-01-28,Customer 268,Corporate,East,Furniture,Bookshelf,7,375.26,0.0,2626.82,806.44
ORD-11070,2024-01-28,Customer 652,Corporate,West,Electronics,Smartwatch,6,202.94,0.0,1217.64,207.54
ORD-10423,2024-01-28,Customer 704,Consumer,East,Electronics,Smartwatch,5,892.33,0.15,3792.4,1211.19
ORD-11731,2024-01-29,Customer 583,Consumer,East,Home & Kitchen,Air Fryer,6,184.05,0.1,993.87,131.09
ORD-11147,2024-01-29,Customer 516,Corporate,Central,Electronics,Smartwatch,4,873.69,0.0,3494.76,1221.86
ORD-10602,2024-01-29,Customer 601,Home Office,Central,Furniture,Desk,1,544.27,0.15,462.63,74.75
ORD-11647,2024-01-29,Customer 610,Corporate,North,Clothing,Jeans,3,31.25,0.0,93.75,10.56
ORD-11286,2024-01-29,Customer 155,Consumer,West,Electronics,Laptop,4,832.1,0.0,3328.4,818.92
ORD-12750,2024-01-29,Customer 579,Home Office,South,Electronics,Headphones,5,598.81,0.0,2994.05,929.4
ORD-11558,2024-01-29,Customer 643,Home Office,Central,Furniture,Sofa,6,293.09,0.15,1494.76,146.32
ORD-12006,2024-01-30,Customer 375,Consumer,East,Stationery,Desk Organizer,2,13.22,0.0,26.44,5.65
ORD-12357,2024-01-30,Customer 290,Consumer,East,Furniture,Desk,4,82.72,0.0,330.88,108.78
ORD-12856,2024-01-30,Customer 101,Consumer,East,Clothing,T-Shirt,2,89.75,0.0,179.5,56.16
ORD-12734,2024-01-30,Customer 486,Consumer,East,Home & Kitchen,Air Fryer,5,117.26,0.0,586.3,101.78
ORD-12710,2024-01-30,Customer 681,Home Office,North,Electronics,Headphones,1,167.18,0.0,167.18,35.3
ORD-10792,2024-01-31,Customer 779,Corporate,Central,Furniture,Bookshelf,6,671.46,0.0,4028.76,935.33
ORD-12947,2024-01-31,Customer 380,Corporate,North,Electronics,Laptop,5,563.68,0.0,2818.4,785.15
ORD-10063,2024-01-31,Customer 301,Consumer,North,Stationery,Notebook,4,13.38,0.0,53.52,7.72
ORD-11612,2024-01-31,Customer 417,Consumer,East,Furniture,Office Chair,5,674.54,0.15,2866.79,279.39
ORD-11729,2024-01-31,Customer 762,Home Office,Central,Furniture,Bookshelf,2,673.68,0.0,1347.36,359.25
ORD-10115,2024-02-01,Customer 238,Home Office,Central,Electronics,Smartphone,3,144.33,0.1,389.69,40.47
ORD-11810,2024-02-01,Customer 585,Home Office,West,Stationery,Whiteboard,5,18.33,0.0,91.65,7.83
ORD-12226,2024-02-02,Customer 353,Consumer,West,Stationery,Backpack,1,11.3,0.0,11.3,1.95
ORD-12919,2024-02-02,Customer 685,Corporate,East,Home & Kitchen,Vacuum Cleaner,7,15.26,0.0,106.82,21.9
ORD-12034,2024-02-02,Customer 629,Corporate,East,Home & Kitchen,Air Fryer,5,16.24,0.0,81.2,17.26
ORD-11850,2024-02-02,Customer 512,Consumer,Central,Clothing,T-Shirt,1,31.84,0.0,31.84,9.22
ORD-11003,2024-02-03,Customer 192,Corporate,Central,Stationery,Notebook,6,26.12,0.0,156.72,17.37
ORD-11016,2024-02-03,Customer 198,Corporate,North,Furniture,Desk,7,323.73,0.0,2266.11,624.78
ORD-11770,2024-02-03,Customer 842,Consumer,West,Electronics,Smartwatch,7,312.81,0.0,2189.67,122.54
ORD-10206,2024-02-03,Customer 453,Consumer,West,Furniture,Bed Frame,3,227.77,0.0,683.31,153.6
ORD-11476,2024-02-03,Customer 152,Consumer,West,Home & Kitchen,Air Fryer,4,95.67,0.2,306.14,18.21
ORD-11037,2024-02-04,Customer 375,Consumer,East,Furniture,Bookshelf,6,577.16,0.0,3462.96,467.17
ORD-10422,2024-02-04,Customer 681,Consumer,South,Stationery,Notebook,5,28.13,0.0,140.65,41.7
ORD-11087,2024-02-05,Customer 571,Corporate,North,Clothing,Sneakers,6,84.99,0.0,509.94,101.94
ORD-11121,2024-02-05,Customer 293,Consumer,East,Electronics,Tablet,1,402.31,0.1,362.08,91.82
ORD-11190,2024-02-05,Customer 546,Consumer,West,Home & Kitchen,Cookware Set,3,61.38,0.15,156.52,16.84
ORD-12150,2024-02-06,Customer 605,Consumer,South,Furniture,Sofa,7,162.9,0.0,1140.3,117.77
ORD-10367,2024-02-06,Customer 746,Home Office,West,Electronics,Laptop,5,142.39,0.0,711.95,87.89
ORD-10704,2024-02-06,Customer 78,Corporate,North,Furniture,Bed Frame,2,546.79,0.0,1093.58,101.55
ORD-11186,2024-02-06,Customer 418,Corporate,West,Electronics,Headphones,6,381.54,0.0,2289.24,219.65
ORD-11354,2024-02-07,Customer 867,Consumer,Central,Clothing,Jacket,6,40.93,0.0,245.58,76.51
ORD-11830,2024-02-07,Customer 789,Consumer,West,Furniture,Desk,4,278.94,0.0,1115.76,134.44
ORD-10320,2024-02-07,Customer 244,Consumer,Central,Home & Kitchen,Cookware Set,1,157.99,0.0,157.99,17.26
ORD-11621,2024-02-08,Customer 366,Corporate,Central,Electronics,Smartphone,4,70.93,0.0,283.72,74.11
ORD-12821,2024-02-08,Customer 223,Consumer,North,Clothing,Sneakers,5,49.24,0.1,221.58,59.01
ORD-11533,2024-02-08,Customer 769,Consumer,South,Stationery,Backpack,2,23.06,0.05,43.81,6.43
ORD-10508,2024-02-08,Customer 392,Consumer,East,Furniture,Desk,6,508.05,0.0,3048.3,381.03
ORD-10055,2024-02-08,Customer 49,Home Office,South,Home & Kitchen,Blender,4,128.14,0.0,512.56,32.14
ORD-12101,2024-02-09,Customer 659,Consumer,West,Home & Kitchen,Blender,1,57.56,0.0,57.56,14.81
ORD-11802,2024-02-09,Customer 443,Consumer,West,Clothing,T-Shirt,1,85.95,0.05,81.65,9.42
ORD-11939,2024-02-09,Customer 315,Home Office,South,Electronics,Smartphone,5,851.75,0.0,4258.75,1241.9
ORD-11486,2024-02-09,Customer 178,Consumer,South,Electronics,Headphones,7,708.72,0.0,4961.04,302.5
ORD-11684,2024-02-09,Customer 590,Consumer,East,Clothing,Jeans,3,35.01,0.0,105.03,26.11
ORD-12500,2024-02-09,Customer 731,Corporate,West,Clothing,Cap,6,29.1,0.0,174.6,50.6
ORD-11378,2024-02-10,Customer 56,Corporate,East,Stationery,Pen Set,6,13.61,0.0,81.66,17.83
ORD-10830,2024-02-10,Customer 555,Consumer,South,Home & Kitchen,Vacuum Cleaner,5,86.07,0.0,430.35,106.13
ORD-11181,2024-02-10,Customer 771,Consumer,Central,Home & Kitchen,Vacuum Cleaner,1,139.58,0.1,125.62,22.32
ORD-12638,2024-02-10,Customer 479,Corporate,North,Stationery,Notebook,5,17.58,0.0,87.9,22.9
ORD-10600,2024-02-11,Customer 260,Corporate,East,Stationery,Pen Set,5,21.46,0.0,107.3,33.64
ORD-12492,2024-02-11,Customer 735,Home Office,North,Electronics,Headphones,6,296.38,0.0,1778.28,260.6
ORD-12005,2024-02-11,Customer 586,Consumer,East,Furniture,Office Chair,1,310.95,0.0,310.95,94.31
ORD-11080,2024-02-12,Customer 788,Corporate,South,Clothing,Jacket,5,80.38,0.05,381.8,128.69
ORD-11724,2024-02-12,Customer 840,Consumer,East,Electronics,Headphones,3,542.33,0.05,1545.64,91.68
ORD-11877,2024-02-12,Customer 863,Consumer,Central,Clothing,Jacket,4,51.38,0.0,205.52,36.5
ORD-11400,2024-02-12,Customer 709,Consumer,South,Electronics,Smartphone,3,81.55,0.0,244.65,62.89
ORD-11195,2024-02-12,Customer 337,Corporate,South,Clothing,Jeans,7,16.8,0.05,111.72,29.77
ORD-12087,2024-02-12,Customer 181,Consumer,South,Home & Kitchen,Vacuum Cleaner,2,104.11,0.1,187.4,61.4
ORD-12899,2024-02-12,Customer 173,Corporate,East,Home & Kitchen,Lamp,3,44.87,0.0,134.61,44.4
ORD-12193,2024-02-14,Customer 374,Consumer,Central,Stationery,Pen Set,7,38.6,0.0,270.2,87.83
ORD-12694,2024-02-14,Customer 602,Corporate,South,Electronics,Smartphone,5,578.51,0.15,2458.67,466.88
ORD-11997,2024-02-14,Customer 549,Corporate,South,Home & Kitchen,Vacuum Cleaner,7,52.13,0.0,364.91,72.64
ORD-12611,2024-02-14,Customer 342,Corporate,West,Clothing,Jeans,1,50.79,0.05,48.25,3.77
ORD-10087,2024-02-14,Customer 895,Consumer,West,Home & Kitchen,Vacuum Cleaner,7,103.11,0.05,685.68,201.86
ORD-11053,2024-02-14,Customer 596,Consumer,East,Electronics,Laptop,4,889.83,0.0,3559.32,415.4
ORD-11597,2024-02-15,Customer 219,Consumer,West,Electronics,Headphones,4,296.46,0.0,1185.84,260.74
ORD-11873,2024-02-15,Customer 328,Corporate,West,Furniture,Bed Frame,4,617.21,0.05,2345.4,409.86
ORD-12186,2024-02-15,Customer 616,Consumer,Central,Clothing,Jeans,1,25.56,0.1,23.0,7.45
ORD-11402,2024-02-15,Customer 261,Consumer,North,Clothing,Cap,5,62.22,0.15,264.44,66.48
ORD-11841,2024-02-15,Customer 593,Consumer,East,Stationery,Backpack,2,15.53,0.2,24.85,2.57
ORD-11363,2024-02-15,Customer 128,Corporate,South,Furniture,Office Chair,6,95.92,0.05,546.74,47.58
ORD-10388,2024-02-17,Customer 887,Consumer,North,Electronics,Smartwatch,3,567.47,0.05,1617.29,425.72
ORD-11116,2024-02-17,Customer 766,Corporate,Central,Electronics,Laptop,6,579.63,0.0,3477.78,1175.51
ORD-11014,2024-02-17,Customer 361,Consumer,South,Clothing,Jeans,2,23.41,0.15,39.8,1.16
ORD-12802,2024-02-17,Customer 731,Consumer,North,Clothing,Jacket,6,15.18,0.0,91.08,20.39
ORD-10568,2024-02-18,Customer 426,Consumer,North,Electronics,Smartwatch,1,60.78,0.0,60.78,8.02
ORD-12307,2024-02-18,Customer 91,Home Office,East,Stationery,Pen Set,1,38.28,0.0,38.28,7.23
ORD-10064,2024-02-18,Customer 139,Home Office,North,Home & Kitchen,Air Fryer,5,83.87,0.0,419.35,36.02
ORD-10996,2024-02-18,Customer 255,Corporate,East,Electronics,Laptop,2,331.71,0.0,663.42,89.57
ORD-12053,2024-02-18,Customer 550,Corporate,West,Clothing,Cap,3,13.09,0.1,35.34,1.8
ORD-12194,2024-02-18,Customer 870,Consumer,West,Clothing,Sneakers,1,16.66,0.0,16.66,3.3
ORD-10218,2024-02-19,Customer 758,Consumer,West,Furniture,Office Chair,6,232.74,0.0,1396.44,357.23
ORD-11991,2024-02-19,Customer 246,Consumer,Central,Stationery,Desk Organizer,2,27.34,0.0,54.68,5.17
ORD-10262,2024-02-19,Customer 725,Consumer,Central,Stationery,Whiteboard,5,31.37,0.0,156.85,51.57
ORD-12890,2024-02-20,Customer 118,Consumer,West,Clothing,Cap,2,57.72,0.0,115.44,15.62
ORD-12215,2024-02-20,Customer 188,Consumer,South,Clothing,Jeans,5,40.46,0.05,192.19,16.09
ORD-11320,2024-02-20,Customer 871,Home Office,North,Stationery,Notebook,7,22.35,0.0,156.45,34.07
ORD-12853,2024-02-20,Customer 228,Consumer,East,Stationery,Pen Set,2,38.5,0.0,77.0,7.48
ORD-10425,2024-02-21,Customer 402,Home Office,South,Furniture,Sofa,4,352.31,0.0,1409.24,243.59
ORD-10515,2024-02-21,Customer 171,Corporate,North,Clothing,Cap,2,70.09,0.0,140.18,25.88
ORD-11046,2024-02-21,Customer 454,Home Office,North,Furniture,Office Chair,4,291.98,0.05,1109.52,238.91
ORD-11622,2024-02-21,Customer 325,Consumer,East,Home & Kitchen,Blender,2,181.02,0.0,362.04,42.59
ORD-10209,2024-02-21,Customer 709,Home Office,North,Clothing,Cap,4,32.72,0.0,130.88,45.02
ORD-10120,2024-02-22,Customer 736,Consumer,South,Clothing,Jeans,1,89.09,0.05,84.64,16.13
ORD-10847,2024-02-22,Customer 535,Corporate,Central,Furniture,Sofa,5,253.78,0.05,1205.45,346.33
ORD-11028,2024-02-22,Customer 884,Corporate,North,Clothing,Sneakers,7,70.54,0.1,444.4,89.39
ORD-10446,2024-02-23,Customer 734,Consumer,West,Clothing,Jacket,1,12.42,0.0,12.42,0.81
ORD-11184,2024-02-23,Customer 366,Corporate,North,Clothing,Jeans,1,42.32,0.0,42.32,2.47
ORD-10472,2024-02-23,Customer 543,Consumer,East,Furniture,Desk,4,322.4,0.0,1289.6,375.64
ORD-10926,2024-02-23,Customer 33,Consumer,North,Clothing,Jacket,7,80.71,0.0,564.97,181.84
ORD-10649,2024-02-23,Customer 898,Consumer,West,Furniture,Sofa,1,471.98,0.0,471.98,49.64
ORD-11823,2024-02-23,Customer 82,Home Office,North,Clothing,T-Shirt,2,42.21,0.0,84.42,13.04
ORD-11332,2024-02-23,Customer 218,Consumer,Central,Furniture,Bookshelf,1,260.81,0.15,221.69,36.93
ORD-10565,2024-02-23,Customer 494,Consumer,East,Furniture,Sofa,4,164.34,0.0,657.36,133.88
ORD-10075,2024-02-24,Customer 872,Corporate,West,Clothing,T-Shirt,3,62.33,0.2,149.59,15.41
ORD-12222,2024-02-24,Customer 667,Consumer,West,Stationery,Whiteboard,1,32.07,0.2,25.66,2.24
ORD-12013,2024-02-24,Customer 185,Corporate,North,Furniture,Office Chair,4,531.94,0.0,2127.76,168.3
ORD-11204,2024-02-24,Customer 575,Consumer,Central,Clothing,Cap,7,24.77,0.0,173.39,37.44
ORD-10715,2024-02-25,Customer 416,Consumer,South,Furniture,Office Chair,2,431.79,0.15,734.04,239.0
ORD-12990,2024-02-25,Customer 852,Home Office,South,Clothing,Cap,5,81.51,0.0,407.55,105.88
ORD-12567,2024-02-25,Customer 59,Consumer,West,Clothing,Sneakers,3,33.54,0.15,85.53,9.96
ORD-11783,2024-02-27,Customer 207,Consumer,Central,Stationery,Pen Set,2,11.92,0.0,23.84,2.79
ORD-12964,2024-02-27,Customer 198,Consumer,North,Stationery,Notebook,4,32.1,0.0,128.4,28.0
ORD-10856,2024-02-27,Customer 467,Consumer,North,Electronics,Headphones,2,821.84,0.1,1479.31,446.0
